ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
658445865,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Scot Duncan,2025-09-21,2025,9,21,749,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S275711091,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,1,NA,3173,4231,male,1
657483789,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Dan Brooks,2026-05-14,2026,5,14,751,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S338873848,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3024,4032,male,1
657390993,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Gary Charlton,2026-03-18,2026,3,18,945,Colombia,CO-CAL,Caldas,NA,Feeding station wren-spinetail-fruit water,5.023569,-75.364725,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S310361346,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2983,3503,female,1
657366627,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Cristian Valencia Gómez,2026-05-09,2026,5,9,828,Colombia,CO-CAL,Caldas,NA,"Hacienda El Bosque,  Photography Spots And Feeders.",5.0236544,-75.3663031,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S335938805,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,5433,3622,female,1
657351558,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Luis Carlos García Mejía,2026-04-17,2026,4,17,700,Colombia,CO-CES,Cesar,NA,Sabana Rubia,10.3628263,-72.941047,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S331953824,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2040,2720,male,1
657286100,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jeff Maw,2026-04-17,2026,4,17,745,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S327986104,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,2,NA,4805,7207,male,1
657264501,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Alvaro Correa,2026-04-19,2026,4,19,848,Colombia,CO-CAL,Caldas,NA,"Hacienda El Bosque,  Photography Spots And Feeders.",5.0236544,-75.3663031,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S337504516,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,NA,NA,male,1
657234625,Photo,barred fruiteater,Pipreola arcuata,NA,NA,David Piza,2026-02-21,2026,2,21,730,Colombia,CO-CAL,Caldas,NA,"Hacienda El Bosque,  Photography Spots And Feeders.",5.0236544,-75.3663031,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S303587976,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2048,1638,male,1
657217739,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Marcelo Quipo,2026-05-11,2026,5,11,635,Ecuador,EC-L,Loja,NA,Vía Cerro Toledo—temperate forest (>2500m),-4.385519,-79.124076,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S337318421,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,4000,4458,male,1
656557332,Photo,barred fruiteater,Pipreola arcuata,NA,NA,BERNARDO JUSTO VIGILIO,2026-04-24,2026,4,24,1031,Peru,PE-HUC,Huánuco,NA,Bosque Unchog,-9.7373144,-76.1698347,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S327406413,NA,NA,NA,NA,Hembra,Pipreola arcuata,barfru1,Species,15859,NA,1,1,NA,1728,2592,female,1
656332657,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Ryan Mandelbaum,2026-04-12,2026,4,12,1101,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S320761409,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2668,4000,male,1
656268647,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Ricardo Lopez Z.,2026-03-23,2026,3,23,733,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S312812733,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2205,3308,male,1
656156422,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Camilo Bernal,2026-03-30,2026,3,30,801,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0248628,-75.3695875,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S329629095,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2736,3648,male,1
656114835,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Michel Gutierrez,2025-10-29,2025,10,29,655,Peru,PE-AMA,Amazonas,NA,Trocha Cresta de San Lorenzo,-5.8101508,-78.0210135,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S281980349,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2407,3610,female,1
656071843,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Ed Eden,2026-04-24,2026,4,24,630,Ecuador,EC-Z,Zamora-Chinchipe,NA,Reserva Tapichalaca y Casa Simpson,-4.4950289,-79.1322792,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S329061271,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3394,4984,male,1
655649335,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Mario A Gutierrez,2026-01-30,2026,1,30,1400,Colombia,CO-CAL,Caldas,NA,Hacienda El Bosque,5.0246844,-75.3695476,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S326125454,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2048,2048,male,1
655263721,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jesus Lozano Rincon,2026-04-11,2026,4,11,929,Colombia,CO-CAL,Caldas,NA,"Hacienda El Bosque,  Photography Spots And Feeders.",5.0236544,-75.3663031,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S321138235,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,4000,6000,male,1
