Tissue #,Collection,Species,Country,State,Locality,LAT,LONG,Elevation,Iris color,Sequenced,Photographed
AMC 1139,COP,Pipreola arcuata,Venezuela,Tachira,"PN Paramos El Batallon y La Negra, Parte alta Rio Bobo, Arriba del INIA",8.0143,-71.9638,2750,Rojo/naranja,Yes,
JEM 216,COP,Pipreola arcuata,Venezuela,Tachira,"PN Paramos El Batallon y La Negra, Parte alta Rio Bobo, Arriba del INIA",8.0143,-71.9638,2750,Rojo/naranja,Yes,
JM 998,COP,Pipreola arcuata,Venezuela,Tachira,"PN Paramos El Batallon y La Negra, Sector La Barrosa",8.0056,-71.9726,2900,Rojo/naranja,Yes,
KCC 95,COP,Pipreola arcuata,Venezuela,Tachira,"PN Paramos El Batallon y La Negra, Sector La Barrosa",8.0056,-71.9726,2900,Rojo/naranja,Yes,
YPL 105,COP,Pipreola arcuata,Venezuela,Tachira,"PN Paramos El Batallon y La Negra, Sector La Barrosa",8.0056,-71.9726,2900,Rojo/naranja,Yes,
AMC 1015,IAvH,Pipreola arcuata,Colombia,Norte de Santander,"Toledo, PNN Tamá, Arriba de La Asiria-Belen",7.3042,-72.3711,2825,Gris,Yes,Yes
IAvH.BT 1947,IAvH,Pipreola arcuata,Colombia,Caldas,"Neira, Cuenca Alta del Rio Tapias, Bosques de la Cristalina, Fca. La Estrella",5.2198,-75.4040,3160,Gris,Yes,
IAvH.BT 4076,IAvH,Pipreola arcuata,Colombia,Risaralda,"Pueblo Rico, Filo La Linea, arriba de Quebrada Risaralda, PNN Tatama, La Cumbre, sitio 2",5.1483,-76.0333,2650,Rojo/naranja,Yes,
IAvH.BT 4077,IAvH,Pipreola arcuata,Colombia,Risaralda,"Pueblo Rico, Filo La Linea, arriba de Quebrada Risaralda, PNN Tatama, La Cumbre, sitio 2",5.1483,-76.0333,2650,Rojo/naranja,Yes,
IAvH.BT 2608,IAvH,Pipreola arcuata,Colombia,Cundinamarca,"La Calera, vda. El Manzano, PNN Chingaza, Reserva Rio Blanco, sector Mundo Nuevo-Laguna Brava",4.6900,-73.8558,2930,Gris,Yes,
LSUMZ-B32701,LSU,Pipreola arcuata,Peru,Cajamarca,"Quebrada Las Palmas, ca. 13 km WSW Chantali",-5.6667,-79.2033,2220,Gris,Yes,
LSUMZ-B31832,LSU,Pipreola arcuata,Peru,Cajamarca,"Quebrada Lanchal, ca. 8 km ESE Sallique",-5.6867,-79.2500,2925,Gris,Yes,
LSUMZ-B31988,LSU,Pipreola arcuata,Peru,Cajamarca,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,,Gris,Yes,
LSUMZ-B818,LSU,Pipreola arcuata,Peru,San Martin,"Puerta Del Monte, ca. 30 km NE Los Alisos",-7.5375,-77.4792,3250,Gris,Yes,
LSUMZ-B820,LSU,Pipreola arcuata,Peru,San Martin,"Puerta Del Monte, ca. 30 km NE Los Alisos",-7.5375,-77.4792,3250,Gris,Yes,
LSUMZ-B7654,LSU,Pipreola arcuata,Peru,Huánuco,"Unchog, pass between Churrubamba and Hacienda Paty, NNW Acomayo",-9.7300,-76.1700,,Gris,Yes,
LSUMZ-B513,LSU,Pipreola arcuata,Peru,Puno,"Valcon, 5 km NNW Quiaca",-14.3004,-69.2344,,Amarillo claro,Yes,
