url,recordist,Country,Dpto,locality,date,latitude,longitude,species,scientific_name,iris,sex,lifestage
https://www.inaturalist.org/observations/14975350,Gordon Karre,Ecuador,,"Unnamed Road, Ecuador",2018-07-03,-0.1117,-78.5849,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/18144171,SimonS6 Birding,Colombia,Caldas,"Villamaría, Villamaría, Caldas, CO",2018-11-03,5.0243,-75.3639,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/22980574,Edison Ocaña,Ecuador,,RUMILOMA,2016-07-23,-0.1756,-78.5272,Pipreola arcuata,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/33572081,David Torres,Ecuador,Quito,"Distrito Metropolitano de Quito, Ecuador",2019-09-28,-0.1155,-78.5841,Pipreola arcuata,Pipreola arcuata,brown,female,adult
https://www.inaturalist.org/observations/35633900,Michael Woodruff,Ecuador,,"Unnamed Road, Ecuador",2007-03-08,-0.1117,-78.5849,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/36911938,,Ecuador,,"Quijos, Ecuador",2019-04-29,-0.3761,-78.0767,Pipreola arcuata,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/37742219,Joao Quental,Colombia,Caldas,"Villamaría, Departamento de Caldas, CO",2019-11-13,5.0262,-75.3677,Pipreola arcuata,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/37797553,Guillermo Nagy Aramacao Tours,Colombia,Caldas,"Manizales, Caldas, Colombia El Bosque",2019-07-17,5.0237,-75.3659,Pipreola arcuata,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/40741560,David Monroy R,Colombia,,Hacienda El Bosque,2019-09-01,5.0247,-75.3695,Pipreola arcuata arcuata,Pipreola arcuata arcuata,brown,male,adult
https://www.inaturalist.org/observations/41900816,Thibaud Aronson,Perú,,PNYC - San Alberto,2020-03-15,-10.5560,-75.3519,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/42003120,Mickaël Villemagne,Perú,,"Province de Huánuco, Pérou",2014-11-19,-9.7261,-76.1033,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/42582698,David Weaver,Ecuador,Quito,"Metropolitan District of Quito, Ecuador",2018-11-29,-0.1024,-78.6066,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/45274977,David Weaver,Ecuador,,"Quijos, Ecuador",2017-12-15,-0.3823,-78.0709,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/46499761,Eduardo Obando,Ecuador,,"Pimampiro, Ecuador",2018-05-05,0.2596,-77.9898,frutero barrado,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/47474878,Oscar Arévalo Borja,Ecuador,Quito,"Distrito Metropolitano de Quito, Ecuador",2020-01-25,-0.1116,-78.5852,frutero barrado,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/47474882,Oscar Arévalo Borja,Ecuador,Quito,"Distrito Metropolitano de Quito, Ecuador",2020-01-25,-0.1119,-78.5850,frutero barrado,Pipreola arcuata,brown,female,adult
https://www.inaturalist.org/observations/49887765,David Monroy R,Colombia,Caldas,Hacienda El Bosque,2018-10-20,5.0247,-75.3695,Barred Fruiteater,Pipreola arcuata,brown,male,adult
https://www.inaturalist.org/observations/51620684,David Monroy R,Colombia,,"Finca Cortaderal, Santa Rosa de Cabal, Risaralda, Colombia",2020-06-25,4.8559,-75.4843,frutero barrado,Pipreola arcuata,brown,female,adult
https://www.inaturalist.org/observations/52645949,Edison Ocaña,Ecuador,,"Limite parque Sumaco, Ecuador",2019-11-21,-0.6214,-77.8299,Barred Fruiteater,Pipreola arcuata,brown,female,adult
