ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
657014912,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Alejandro Suárez,2026-05-09,2026,5,9,648,Colombia,CO-ANT,Antioquia,NA,"Antioquia, CO Alto Las Ranas 3.100",5.4937747,-75.9191404,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S335907751,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2160,3840,male,3
654705669,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Max Buckley,2025-12-05,2025,12,5,524,Colombia,CO-RIS,Risaralda,NA,PNN Tatamá--Cerro Montezuma-Los Chorros (acceso restringido),5.251649,-76.1105561,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S287416311,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2783,4174,male,3
651596244,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Bettsi Carolina Quintero,2026-02-16,2026,2,16,1453,Venezuela,VE-S,Táchira,NA,PN Juan Pablo Peñaloza-–Via Queniquea,7.9311931,-72.0538742,Adult Male – 1,Foraging or Eating,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,S303396608,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,2,Habitat,3135,2946,male,3
648860612,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Bettsi Carolina Quintero,2026-01-10,2026,1,10,1243,Venezuela,VE-S,Táchira,NA,PN Juan Pablo Peñaloza-–Paramo El Zumbador,7.9541262,-72.0714179,Adult Male – 1,Foraging or Eating,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,S293799170,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,5,6,Habitat,3686,2457,male,3
648265560,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Maithreyi Gopalan,2025-12-27,2025,12,27,627,Colombia,CO-RIS,Risaralda,NA,PNN Tatamá--Cerro Montezuma-Los Chorros (acceso restringido),5.251649,-76.1105561,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S290645970,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3456,4608,male,3
647861142,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Paulo Ditzel,2025-12-10,2025,12,10,656,Colombia,CO-CHO,Chocó,NA,Las Tangaras ProAves Reserve,5.8206127,-76.1726761,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S288053101,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,2,1,NA,3256,3639,female,3
645417499,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Stan Alcorn,2025-11-09,2025,11,9,1321,Colombia,CO-RIS,Risaralda,NA,PNN Tatamá--Cerro Montezuma-Los Chorros (acceso restringido),5.251649,-76.1105561,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S283804762,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3456,4608,female,3
643452056,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Cristhian Cardona Giraldo,2025-10-07,2025,10,7,802,Colombia,CO-CHO,Chocó,NA,Cerro El Mirador,4.674794,-76.300401,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S277867838,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3888,5184,female,3
640799707,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Steven Hunter,2025-08-04,2025,8,4,1048,Colombia,CO-RIS,Risaralda,NA,PNN Tatamá--Cerro Montezuma-Los Chorros (acceso restringido),5.251649,-76.1105561,Adult Male – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S265103714,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,1895,2844,male,3
639245558,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Russ Ruffing,2025-05-26,2025,5,26,640,Colombia,CO-RIS,Risaralda,NA,PNN Tatamá--Camino Montezuma (area general; acceso restringido),5.2446783,-76.1005516,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S243251694,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3.5,2,NA,3263,4893,male,3
638545760,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Oswaldo Suárez,2025-07-02,2025,7,2,730,Colombia,CO-VAC,Valle del Cauca,NA,"Parque Nacional Natural Farallones de Cali, Cali CO-Valle Del Cauca 3.44435, -76.66842",3.444353,-76.668422,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S257529800,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2048,1817,female,3
