CollectionsNumber,CollectionsName,CollectorsName,date,Country,Dpto,locality,latitude,longitude,species,iris,sex,lifestage
34526,MSB,C. Jonathan Schmitt,14-06-2010,Peru,,"South America, Peru, Departamento Cuzco, Abra Bella Vista",-12.6211,-72.2424,Pipreola arcuata,irides-cream yellow; bill-deep red; toes and tarsi-bright orange,male,
37796,LSUMNS,F. Steinbach,4/9/1962,Bolivia,,km 104,-17.1300,-65.7200,Pipreola arcuata,crema,Female,
90757,LSUMNS,J. V. Remsen,6/8/1979,Bolivia,,"Sacramento Alto, 8 km by road N Chuspipata",-16.2700,-67.7800,Pipreola arcuata,iris pale yellow,Female,
96108,LSUMNS,C. S. Cardiff,8/6/1980,Bolivia,,"Cotapata, 4.5 km WNW Chuspipata",-16.2800,-67.8400,Pipreola arcuata,iris pale yellow,Female,
96109,LSUMNS,Linda Hale,12/6/1980,Bolivia,,"Cotapata, 4.5 km WNW Chuspipata",-16.2800,-67.8400,Pipreola arcuata,iris pale orange-yellow,Male,
96110,LSUMNS,Steven W. Cardiff,23-06-1980,Bolivia,,"Cotapata, 4.5 km WNW Chuspipata",-16.2800,-67.8400,Pipreola arcuata,iris brownish-white,Female,
98420,LSUMNS,Laurence C. Binford,11/10/1980,Peru,,"Valcon, 5 km NNW Quiaca",-14.3004,-69.2344,Pipreola arcuata,iris pale creamy-yellow,Male,
98421,LSUMNS,Laurence C. Binford,16-10-1980,Peru,,"Valcon, 5 km NNW Quiaca",-14.3850,-69.3678,Pipreola arcuata,iris yellowish-white,Female,
101401,LSUMNS,Angelo P. Capparella,31-07-1981,Bolivia,,1 km S Chuspipata,-16.3000,-67.8300,Pipreola arcuata,iris yellow,Male,
102269,LSUMNS,J. V. Remsen,7/8/1981,Bolivia,,1 km S Chuspipata,-16.3000,-67.8300,Pipreola arcuata,iris yellow,Male,
191086,LSUMNS,Emil Bautista,17-11-2013,Peru,,1.3 km NE Marcapata,-13.3830,-70.9660,Pipreola arcuata,iris color blanco hueso,Male,
196316,LSUMNS,Michael G. Harvey,30-11-2016,Bolivia,,3 km NW Chacopampa,-16.6560,-66.8170,Pipreola arcuata,iris pale yellow,Male,
103105,ANSP,"Melbourne A. Carriker, Jr.",5-30-1931,Peru,,"Peru, Puno, Oconeque",-14.0608,-69.7140,Pipreola arcuata,white straw,female,
120110,ANSP,"Melbourne A. Carriker, Jr.",12-12-1934,Bolivia,La Paz,"Bolivia, La Paz, Sandillani",-16.2000,-67.9000,Pipreola arcuata,tawny hazel,male,
136338,ANSP,M. A. Carriker,6-4-1937,Bolivia,Cochabamba,"Bolivia, Cochabamba, Incachaca",-17.2333,-66.4833,Pipreola arcuata,yellow,female,
136337,ANSP,"Melbourne A. Carriker, Jr.",6-7-1937,Bolivia,Cochabamba,"Bolivia, Cochabamba, Incachaca",-17.2333,-66.4833,Pipreola arcuata,yellow,male,
127875,NHMD,Fjelsa Jon,08-01-1984,Bolivia,,Tambo Pata; Bolivia,-14.6128,-68.7309,Pipreola arcuata,ochraceous white,male,
32567,MSB,Abraham Urbay T.,20-07-2008,Perú,,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande",-6.0796,-78.3290,Pipreola arcuata,"iris-brown, bill-red, toes and tarsi-red",male,
32755,MSB,Abraham Urbay T.,25-07-2008,Perú,,"PERU: Dpto. Amazonas, Prov. Utcubamba, Dist.Lonya Grande",-6.0801,-78.3286,Pipreola arcuata,"iris-brown, bill-red, toes and tarsi-orange",female,
32826,MSB,Andrew B. Johnson,27-07-2008,Perú,,"Peru: Depto. Amazonas, Prov. Utcubamba, Dist. Lonya Grande",-6.0894,-78.3427,Pipreola arcuata,"irides brown, redder closer to pupils 10 min after death, was whole iris red-brown in life? Bill red, feet orange, pads yellow-orange",male,
42172,MSB,Andrew B. Johnson,29-06-2012,Perú,,Peru: Dpto. Cajamarca. Chontali,-5.5793,-79.17587,Pipreola arcuata,"iris gris blanquisco, pico naranjado, patas naranjado",male,
64250,LSU,John P. O Neill,21-08-1968,Perú,,"Cordillera Carpish, E Slope, Carretera Central",-9.6700,-76.1500,Pipreola arcuata,iris gray-brown,male,
74159,LSU,John P. O Neill,03-08-1973,Perú,,"Trail to Hacienda Paty, below Carpish Pass",-9.7000,-76.0800,Pipreola arcuata,iris grayish white,male,
74163,LSU,Ronald Louque,18-07-1973,Perú,,"Bosque Zapatagocha, above Acomayo",-9.6700,-76.0500,Pipreola arcuata,iris greyish white,female,
74164,LSU,John P. O Neill,08-06-1973,Perú,,"Bosque Zapatagocha, above Acomayo",-9.6700,-76.0500,Pipreola arcuata,iris brown,male,
88175,LSU,R. D. Semba,14-06-1978,Perú,,"Cerro Chinguela, approximately 5 km NE Zapalache",-5.1200,-79.3800,Pipreola arcuata,iris grey-red,male,
88176,LSU,R. D. Semba,14-06-1978,Perú,,"Cerro Chinguela, approximately 5 km NE Zapalache",-5.1200,-79.3800,Pipreola arcuata,iris grey- red,female,
88177,LSU,J. William Eley,18-06-1978,Perú,,"Cerro Chinguela, approximately 5 km NE Zapalache",-5.1200,-79.3800,Pipreola arcuata,iris: pale purplish-red,male,
88178,LSU,J. William Eley,19-06-1978,Perú,,"Cerro Chinguela, approximately 5 km NE Zapalache",-5.1200,-79.3800,Pipreola arcuata,iris: pale purplish-red,female,
88180,LSU,Thomas S. Schulenberg,04-09-1978,Perú,,"Cordillera Colon, E La Peca",-5.5500,-78.3200,Pipreola arcuata,iris light gray-brown,male,
88181,LSU,G. L. Graham,30-08-1978,Perú,,"Cordillera Colon, E La Peca",-5.5500,-78.3200,Pipreola arcuata,iris light green,female,
88182,LSU,Morris D. Williams,12-09-1978,Perú,,"Cordillera Colon, NE La Peca",-5.5500,-78.3200,Pipreola arcuata,iris grey-white,female,
88183,LSU,Thomas S. Schulenberg,01-09-1978,Perú,,"Cordillera Colon, NE La Peca",-5.5500,-78.3200,Pipreola arcuata,irides grayish-white,male,
92562,LSU,Reyes Rivera,23-09-1979,Perú,,"Mashua, E Tayabamba, on trail to Ongon",-8.2000,-77.2300,Pipreola arcuata,"iris gray, ring brown around the pupil",male,
92563,LSU,Theodore A. Parker III,26-09-1979,Perú,,"Mashua, E Tayabamba, on trail to Ongon",-8.2000,-77.2300,Pipreola arcuata,iris brown,male,
106125,LSU,Thomas S. Schulenberg,20-03-1982,Perú,,"Cumbre de Ollon, approximately 12 km E Oxapampa",-10.5700,-75.1700,Pipreola arcuata,irides purplish-brown,male,
106126,LSU,David A. Wiedenfeld,26-03-1982,Perú,,"Cumbre de Ollon, approximately 12 km E Oxapampa",-10.5700,-75.1700,Pipreola arcuata,iris gray,female,
119022,LSU,Gary H. Rosenberg,20-07-1984,Perú,,"Unchog, pass between Churrubamba and Hacienda Paty, NNW Acomayo",-9.7300,-76.1700,Pipreola arcuata,iris dull olive,female,
120927,LSU,Joel Rivera,09-08-1984,Perú,,Trail from Pachachupan to Huaylaspama,-9.7700,-76.2000,Pipreola arcuata,iris grey,female,
128660,LSU,Manuel Sanchez S.,14-07-1985,Perú,,"Millpo, E Tambo de Vacas on Pozuzo-Chaglla trail",-9.9000,-75.7300,Pipreola arcuata,iris marron,female,
128661,LSU,Manuel Sanchez S.,18-07-1985,Perú,,"Millpo, E Tambo de Vacas on Pozuzo-Chaglla trail",-9.9000,-75.7300,Pipreola arcuata,iris gris,female,
128662,LSU,Manuel Sanchez S.,09-08-1985,Perú,,2 km NW Punta de Saria on Pozuzo-Chaglla trail,-9.7167,-75.9000,Pipreola arcuata,iris café,male,
170013,LSU,Christopher C. Witt,17-06-1998,Perú,,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,Pipreola arcuata,iris blue gray,female,
170014,LSU,Manuel Sanchez S.,18-06-1998,Perú,,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,Pipreola arcuata,"iris, gray",male,
170015,LSU,Daniel G. Christian,20-06-1998,Perú,,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,Pipreola arcuata,iris grayish white,male,
170016,LSU,Robert C. Faucett,21-06-1998,Perú,,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,Pipreola arcuata,iris gray,female,
170017,LSU,Daniel F. Lane,21-07-1998,Perú,,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,Pipreola arcuata,iris gray-brown,female,
170018,LSU,Daniel G. Christian,25-06-1998,Perú,,"Quebrada Lanchal, approximately 8 km ESE Sallique",-5.6866,-79.2500,Pipreola arcuata,pale green irides,female,
