ML.Catalog.Number,Format,Common.Name,Scientific.Name,Background.Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country.State.County,State,County,Locality,Latitude,Longitude,Age.Sex,Behaviors,Playback,Captive,Collected,Specimen.ID,Home.Archive.Catalog.Number,Recorder,Microphone,Accessory,Partner.Institution,eBird.Checklist.ID,Unconfirmed,Air.Temp..C.,Water.Temp..C.,Media.notes,Observation.Details,Parent.Species,eBird.Species.Code,Taxon.Category,Taxonomic.Sort,Recordist.2,Average.Community.Rating,Number.of.Ratings,Asset.Tags,Original.Image.Height,Original.Image.Width,SEX,COLOR
657861986,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Chris Rasmussen,2026-05-02,2026,5,2,716,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Birding Lodge,-13.1750985,-71.5867263,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S331627653,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,1365,2048,female,2
657809577,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Moishie Hersko,2026-05-14,2026,5,14,1132,Peru,PE-CUS,Cuzco [Cusco],NA,"Cusco 113, Cuzco, PE (-13.177, -71.609)",-13.1768144,-71.6094353,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S338914149,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,1074,1611,female,2
656368334,Photo,barred fruiteater,Pipreola arcuata,NA,NA,mark cavallo,2026-03-25,2026,3,25,837,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Esperanza,-13.177975,-71.60329,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S313043100,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2827,2678,female,2
655235039,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Susan Hartley,2026-03-27,2026,3,27,951,Peru,PE-CUS,Cuzco [Cusco],NA,Carretera a Manú--Túneles Pillahuata (2600-2800m),-13.17066,-71.60379,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S313834890,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,805,866,male,2
655094265,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Tini & Jacob Wijpkema,2025-10-30,2025,10,30,523,Bolivia,BO-C,Cochabamba,NA,"Corani Forest Departamento de Cochabamba, BO (-17,163, -65,881)",-17.1630784,-65.8809659,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S282033530,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,4,1,NA,1000,1250,male,2
655094033,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Tini & Jacob Wijpkema,2025-10-29,2025,10,29,928,Bolivia,BO-C,Cochabamba,NA,"Corani Forest Departamento de Cochabamba, BO (-17,163, -65,881)",-17.1630784,-65.8809659,Female – 1,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S281970589,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,3,1,NA,1000,1249,female,2
653814003,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Sarah Lamond,2026-01-28,2026,1,28,615,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station,-13.1749355,-71.5871823,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S296801396,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3712,5568,male,2
653591646,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Russell Scott,2025-11-05,2025,11,5,641,Bolivia,BO-L,La Paz,NA,Chuspipata--upper Old Coroico Rd.,-16.29262,-67.8264731,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S283045768,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,3399,3073,male,2
653454361,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Sarah Lamond,2026-01-27,2026,1,27,553,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station,-13.1749355,-71.5871823,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S296636428,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,2925,4387,male,2
653029575,Photo,barred fruiteater,Pipreola arcuata,NA,NA,Jona Scholtes,2026-03-05,2026,3,5,934,Peru,PE-CUS,Cuzco [Cusco],NA,Wayqecha Cloud Forest Biological Station,-13.1749355,-71.5871823,NA,NA,Unspecified,FALSE,FALSE,NA,NA,NA,NA,NA,NA,S306463765,NA,NA,NA,NA,NA,Pipreola arcuata,barfru1,Species,15859,NA,0,0,NA,1853,2471,female,2
